行政區域代碼,業者名稱店名,食品業者登錄字號,地址,評核結果
63000030,CAMA咖碼咖啡 (師大店),A-153353122-00747-0,臺北市大安區師大路11號,優
63000030,Mo-Mo-Paradise台北復興牧場,A-116098275-00015-2,臺北市大安區復興南路1段42號1樓,優
63000030,金澤美味壽司,A-183550796-00001-2,臺北市大安區忠孝東路4段45號11樓,優
63000030,水粵香 (國立臺灣師範大學),A-190243627-00001-2,臺北市大安區和平東路1段129之1號B1,優
63000030,福勝亭(師大店),A-197301707-00540-1,臺北市大安區和平東路1段129之1號1樓,優
63000030,椒麻雞大王(師大店),A-200172289-00000-8,臺北市大安區和平東路1段129之1號1樓,優
63000030,三商巧福(師大店),A-197301707-00538-8,臺北市大安區和平東路1段129之1號1樓,優
63000090,BELLINI Pasta Pasta南港潤泰店,A-116098275-00053-4,臺北市南港區忠孝東路7段299號C棟8樓,良
63000100,bb.q CHICKEN-洲子店,A-153089762-00067-1,臺北市內湖區瑞光路517號,優
63000100,摩斯漢堡-內湖港墘店,A-123928945-00178-6,臺北市內湖區內湖路1段637號1.2樓,優
63000100,摩斯漢堡-東湖店,A-123928945-00214-7,臺北市內湖區東湖路110號1樓、2樓,優
63000050,Mo-Mo-Paradise台北衡陽牧場,A-116098275-00007-3,臺北市中正區衡陽路20號2樓,優
63000050,bb.q CHICKEN-公館店,A-153089762-00063-7,臺北市中正區汀州路3段153號,優
63000070,台北凱達大飯店-家宴廳,A-152950950-00001-4,臺北市萬華區艋舺大道167號3F,良
63000070,台北凱達大飯店-宴會廳,A-152950950-00003-6,臺北市萬華區艋舺大道167號3F,優
63000070,台北凱達大飯店-百宴廳,A-152950950-00002-5,臺北市萬華區艋舺大道167號5F,優
63000040,BELLINI Caffe台北復興店,A-116098275-00026-4,臺北市中山區復興北路288號1樓,優
63000110,bb.q CHICKEN-芝山店,A-153089762-00059-2,臺北市士林區福華路118號1樓,優
63000120,寶萊納啤酒餐廳,A-152610926-00002-1,臺北市北投區大度路3段296巷41號1樓,優
63000050,OEC蚌麵 台大兒童醫院商場,A-200145842-00001-4,臺北市中正區中山南路8號B1,優
63000050,一雙牛肉麵 台大兒童醫院商場,A-183069996-00003-1,臺北市中正區中山南路8號B1,優
63000050,李記港式燒臘 台大兒童醫院店,A-194210872-00001-2,臺北市中正區中山南路8號B1,優
63000070,喫茶趣ToGo 台北西門分公司,A-118559415-00328-9,臺北市萬華區西寧南路76號1樓,優
63000080,摩斯漢堡-木新店,A-123928945-00048-2,臺北市文山區木新路3段170號,優
63000080,摩斯漢堡-景興店,A-123928945-00033-6,臺北市文山區景興路191號,優
63000020,喫茶趣ToGo ATT信義專櫃,A-118559415-00249-1,臺北市信義區松壽路12號1樓,優
63000020,天仁茗茶CHAFFEE 微風南山店,A-118559415-00315-5,臺北市信義區松智路17號B2,優
63000020,天仁茗茶CHAFFEE 信義遠百店,A-118559415-00324-5,臺北市信義區松仁路58號B3,優
63000020,摩斯漢堡-台北市府店,A-123928945-01161-9,臺北市信義區忠孝東路5段155號1F、2F,優
63000120,摩斯漢堡-台北榮總店,A-123928945-00963-8,臺北市北投區石牌路2段201號(臺北市榮民總醫院1樓美食街),優
63000120,摩斯漢堡-石牌公園店,A-123928945-00077-4,臺北市北投區石牌路1段39巷100號1樓,優
63000120,摩斯漢堡-北投光明店,A-123928945-00157-3,臺北市北投區光明路212號,優
63000120,阿福草輕食飲 (國立臺北藝術大學),A-116598031-00002-3,臺北市北投區學園路1號,優
63000120,藝大咖啡館 (國立臺北藝術大學),A-128582631-00001-4,臺北市北投區學園路1號活動中心1F,優
63000120,爐鍋咖啡 (國立臺北藝術大學),A-153919227-00001-7,臺北市北投區學園路1號,優
63000050,摩斯漢堡-國家音樂廳店,A-123928945-00088-6,臺北市中正區中山南路21之1號,優
63000050,摩斯漢堡-台大醫院店,A-123928945-00030-3,臺北市中正區中山南路7號B1,優
63000090,摩斯漢堡-南港二店,A-123928945-00089-7,臺北市南港區園區街3之2號-9,優
63000090,摩斯漢堡-南港展館店,A-123928945-00117-9,臺北市南港區經貿二路1號(118號櫃位),優
63000090,摩斯漢堡-南港生技園區店,A-123928945-01214-8,臺北市南港區忠孝東路7段508號,優
63000060,摩斯漢堡-華陰京站店,A-123928945-01222-7,臺北市大同區華陰街103號,優
63000030,摩斯漢堡-台科大店,A-123928945-00108-9,臺北市大安區基隆路4段43號(活動中心1樓),優
63000030,摩斯漢堡-金山店,A-123928945-00002-2,臺北市大安區金山南路2段121號(金華街口),優
63000030,摩斯漢堡-師大附中店,A-123928945-01185-5,臺北市大安區信義路3段184號1、2F,優
63000030,cama-台大新館店,A-153353122-00574-8,臺北市大安區基隆路3段155巷57號1樓,優
63000030,喫茶趣ToGo 信義分公司,A-118559415-00292-9,臺北市大安區信義路4段88號1樓,優
63000030,喫茶趣ToGo 忠孝二店分公司,A-118559415-00234-5,臺北市大安區忠孝東路4段107號1樓,優
63000090,第一餐盒股份有限公司,A-128673689-00001-8,臺北市南港區重陽路263巷8號,優
63000100,喫茶趣ToGo-內湖一店,A-118559415-00270-5,臺北市內湖區瑞光路409號,優
63000100,摩斯漢堡-內湖亞太店,A-123928945-00135-9,臺北市內湖區瑞湖街80號,優
63000110,劍潭海外青年活動中心,A-104124221-00000-4,臺北市士林區中山北路4段16號,良
63000110,摩斯漢堡-士林科教館店,A-123928945-00239-4,臺北市士林區士商路189號1樓(國立科學教育館),優
63000110,摩斯漢堡-士東店(安心食品(股)公司),A-123928945-00109-0,臺北市士林區中山北路6段730號,優
63000010,摩斯漢堡-西華店,A-123928945-00032-5,臺北市松山區民生東路3段113巷7弄1號,優
63000010,摩斯漢堡-八德店,A-123928945-00006-6,臺北市松山區八德路3段123號(寧安街口),優
63000010,喫茶趣ToGo 民生社區分公司,A-118559415-00230-1,臺北市松山區民生東路5段126號,優
63000040,台北圓山大飯店-圓苑餐廳,A-111731806-00003-8,臺北市中山區中山北路4段1號1F,優
63000040,台北圓山大飯店-松鶴餐廳,A-111731806-00001-6,臺北市中山區中山北路4段1號1F,優
63000040,台北圓山大飯店-圓山牛排館,A-111731806-00006-1,臺北市中山區中山北路4段1號,優
63000040,台北圓山大飯店-金龍餐廳,A-111731806-00002-7,臺北市中山區中山北路4段1號,優
63000040,台北圓山聯誼會,A-111731806-00005-0,臺北市中山區中山北路4段1號,優
63000020,台北寒舍艾美酒店-探索廚房,A-128999882-00002-5,臺北市信義區松仁路38號1樓,優
63000020,台北寒舍艾美酒店-寒舍食譜,A-128999882-00003-6,臺北市信義區松仁路38號2樓,優
63000020,台北寒舍艾美酒店-宴會廳,A-128999882-00005-8,臺北市信義區松仁路38號3樓,優
63000090,Mo-Mo-Paradise南港潤泰牧場,A-116098275-00043-3,臺北市南港區忠孝東路7段369號C棟10樓,優
63000020,摩斯漢堡-永吉店,A-123928945-01037-1,臺北市信義區永吉路292、294號,優
63000040,摩斯漢堡-吉林店,A-123928945-00016-7,臺北市中山區吉林路27號,優
63000040,喫茶趣ToGo 南京復興分公司,A-118559415-00215-4,臺北市中山區南京東路3段210號 ,優
63000040,GMT義大利餐廳-美福大飯店,A-124552087-00008-9,臺北市中山區樂群二路55號4樓,優
63000040,米香台菜餐廳-美福大飯店,A-124552087-00007-8,臺北市中山區樂群二路55號3樓,優
63000040,晴山日本料理-美福大飯店,A-124552087-00006-7,臺北市中山區樂群二路55號3樓,優
63000040,亞都麗緻大飯店-天香樓,A-112144501-00002-8,臺北市中山區民權東路2段41號B1,優
63000040,亞都麗緻大飯店-巴黎廳,A-112144501-00003-9,臺北市中山區民權東路2段41號2F,優
63000040,亞都麗緻大飯店-巴賽麗廳,A-112144501-00004-0,臺北市中山區民權東路2段41號1F,優
63000030,摩斯漢堡-和平建國店,A-123928945-01096-6,臺北市和平東路2段49之1號,優
63000030,摩斯漢堡-古亭店,A-123928945-01166-4,臺北市和平東路1段15之1號,優
63000030,喫茶趣TOGO-和平東路分公司,A-118559415-00332-4,臺北市和平東路1段13號,優
63000050,台北喜來登大飯店-十二廚,A-170471881-00006-0,臺北市中正區忠孝東路1段12號1樓,優
63000050,台北喜來登大飯店-大廳酒吧,A-170471881-00012-7,臺北市中正區忠孝東路1段12號1樓,優
63000050,台北喜來登大飯店-比薩屋,A-170471881-00008-2,臺北市中正區忠孝東路1段12號B1,優
63000050,台北喜來登大飯店-辰園,A-170471881-00007-1,臺北市中正區忠孝東路1段12號B1,優
63000050,台北喜來登大飯店-宴會廳,A-170471881-00010-5,臺北市中正區忠孝東路1段12號B2,優
63000050,台北花園大酒店-饗聚,A-127744525-00002-6,臺北市中正區中華路2段1號1F,優
63000050,台北花園大酒店-PRIME ONESTEAK HOUSE,A-127744525-00004-8,臺北市中正區中華路2段1號1F,優
63000050,台北花園大酒店-翠庭,A-127744525-00001-5,臺北市中正區中華路2段1號2F,優
63000030,銅樂火鍋,A-200148976-00005-9,臺北市大安區師大路39巷1號,優
63000050,杏園食堂(國立臺灣大學),A-200142106-00001-4,臺北市中正區仁愛路1段1號2樓,優
63000030,龐德羅莎(國立臺灣大學),A-120749665-00002-9,臺北市大安區羅斯福路4段85號2樓,良
63000030,曉鹿鳴樓(國立臺灣大學),A-200150674-00001-3,臺北市大安區羅斯福路4段85號1樓,優
63000030,小蔬杭(國立臺灣大學),A-197433215-00005-7,臺北市大安區羅斯福路4段85號2樓,良
63000030,第二小吃部-豪弟飲食店(國立臺灣大學),A-200204510-00000-1,臺北市大安區羅斯福路4段1號,優
63000030,後台Backstage Café(國立臺灣大學),A-143910486-00000-3,臺北市大安區羅斯福路4段1號,優
63000050,麗媽四季火鍋_台北徐州店(國立台灣大學城中校區),A-190422430-00003-5,臺北市中正區徐州路2-2號,優
63000050,城市漢堡_台北徐州店(國立台灣大學城中校區),A-154938525-00082-9,臺北市中正區徐州路2-2號,優
63000050,欣豐(佳欣食堂)(國立台灣大學城中校區),A-127766956-00001-7,臺北市中正區徐州路2-3號,優
63000050,蘇杭餐廳_濟南店(國立台灣大學校友會館),A-197433215-00001-3,臺北市中正區濟南路1段2號之1,優
63000040,台北晶華酒店-國際聯誼會蘭亭餐廳,A-104268726-00016-0,臺北市中山區中山北路2段39巷3號21F,優
63000040,台北晶華酒店-宴會廳,A-104268726-00002-5,臺北市中山區中山北路2段39巷3號,優
63000040,台北晶華酒店-ROBIN'S鐵板燒,A-104268726-00004-7,臺北市中山區中山北路2段39巷3號,優
63000040,台北晶華酒店-ROBIN'S牛排屋,A-104268726-00005-8,臺北市中山區中山北路2段39巷3號,優
63000070,臺北市天主教光仁國民小學(上林餐飲事業股份有限公司),A-116530835-00007-6,臺北市萬華區萬大路423巷15號,優
63000030,巧運有限公司(我家廚房自助餐)  國立台灣大學,A-153975590-00001-2,臺北市大安區長興街50號,良
63000030,臺北市士林區百齡國小(宏遠國際餐飲股份有限公司),A-125094980-00002-7,臺北市士林區福港街205號,優
63000110,榮彬食品有限公司,A-170453357-00000-2,臺北市士林區福港街110巷1弄2號,優
63000030,活力讚早餐(國立臺灣科技大學),A-200009582-00000-3,臺北市大安區基隆路4段43號(台科大第二教學大樓餐廳),優
63000030,豪享來麵食(國立臺灣科技大學),A-200182744-00000-5,臺北市大安區基隆路4段43號(台科大第二教學大樓餐廳),優
63000030,雞同ㄚ講燒臘坊(國立臺灣科技大學),A-200172999-00000-6,臺北市大安區基隆路4段43號(台科大第二教學大樓餐廳),優
63000030,八方雲集(國立臺灣科技大學),A-170472679-00117-9,臺北市大安區基隆路4段43號(台科大第二教學大樓餐廳),優
63000030,福客亭早餐(國立臺灣科技大學),A-200000189-00003-0,臺北市大安區基隆路4段43號(台科大活動中心第一餐廳),優
63000030,溫州大餛飩(國立臺灣科技大學),A-200120629-00000-9,臺北市大安區基隆路4段43號(台科大活動中心第一餐廳),優
63000030,七樂燒臘(國立臺灣科技大學),A-200228612-00001-1,臺北市大安區基隆路4段43號(台科大活動中心第一餐廳),優
63000070,海底撈西門店,A-158493538-00007-0,臺北市萬華區桂林路1號4樓,優
63000070,西門國民小學(宏遠國際餐飲股份有限公司),A-125094980-00004-9,臺北市萬華區成都路98號,優
63000070,肯德基_台北萬大店,A-197161500-00363-9,臺北市萬華區萬大路286號,優
